Name_eng;Name_zh;Name_py;Nationality;University;State;Degree_source;Degree_level;Field_main;Field_2;Year_start;Year_end;Honorary;nDeg;start;end;duration;period;Degree_high;Field_high;Life_member;Deceased;Employer_main;Employer_2;Sector_1;Sector_2;Country;City;Street_name;Street_2;Street_nbr;Building;Page;PDF
Foo_Y.C.;傅耀誠;Fu Yaocheng;Chinese;Harvard;Massachusetts;M.B.A.;Master;Business & Commerce;Business Administration;1923;1923;;2;1921;1923;2;1919-1935;Master;Business & Commerce;;;China United Lamp Company;;Company;Electrical;China;Shanghai;Szechuen;;110;;190;219
Fu_Daniel C.;傅若愚;Fu Ruoyu;Chinese;William Jewell;Missouri;A.B.;Bachelor;Humanities;Arts;1917;1917;;2;1917;1922;5;1909-1918;Master;Humanities;1935;;Young Men's Christian Association;Y.M.C.A. National Committee;Organization;Religious;China;Shanghai;Museum;;131;;190;219
Fu_Daniel C.;傅若愚;Fu Ruoyu;Chinese;Chicago;Illinois;A.M.;Master;Humanities;Arts;1922;1922;;2;1917;1922;5;1909-1918;Master;Humanities;1935;;Young Men's Christian Association;Y.M.C.A. National Committee;Organization;Religious;China;Shanghai;Museum;;131;;190;219
Tyau_E.S.;刁信德;Diao Xinde;Chinese;Pennsylvania;Pennsylvania;D.P.H.;Doctorate;Medicine;Health Physicist;1914;1914;;2;1914;1914;0;1909-1918;Doctorate;Medicine;1931;;;;;;China;Shanghai;Yu Yuen;;738;;208;237
Tyau_E.S.;刁信德;Diao Xinde;Chinese;Pennsylvania;Pennsylvania;D.T.M.;Doctorate;Medicine;Tropical Medicine;1914;1914;;2;1914;1914;0;1909-1918;Doctorate;Medicine;1931;;;;;;China;Shanghai;Yu Yuen;;738;;208;237
Liu_H.C.E.;劄湛恩;Zha Zhanen;Chinese;Denison;Ohio;LL.D.;Doctorate;Law;Law;1929;1929;;3;1920;1929;9;1919-1935;Doctorate;Law;;;University of Shanghai;;Education;University;China;Shanghai;Chungkung;;771;;199;228
Liu_H.C.E.;劄湛恩;Zha Zhanen;Chinese;Chicago;Illinois;M.A.;Master;;;1920;1920;;3;1920;1929;9;1919-1935;Doctorate;Law;;;University of Shanghai;;Education;University;China;Shanghai;Chungkung;;771;;199;228
Liu_H.C.E.;劄湛恩;Zha Zhanen;Chinese;Columbia;New York;Ph.D.;Doctorate;Undetermined;Undetermined;1922;1922;;3;1920;1929;9;1919-1935;Doctorate;Law;;;University of Shanghai;;Education;University;China;Shanghai;Chungkung;;771;;199;228
Lau_Waan Wai;劉寰偉;Liu Huanwei;Chinese;Cornell;New York;A.B.;Bachelor;Humanities;Arts;1915;1915;;1;1915;1915;0;1909-1918;Bachelor;Humanities;1933;;National Southern Railway (Shanghai-Hangchow Railway);N.S.R. General Department;Central Government;Administration;China;Shanghai;;;112;Embankment building;196;225
Lew_Gideon T.;劉廷蔚;Liu Tingwei;Chinese;Cornell;New York;M.S.;Master;Sciences;Sciences;1930;1930;;2;1930;1932;2;1919-1935;Doctorate;Sciences;;;University of Shanghai;;Education;University;China;Shanghai;Chungkung;;771;;198;227
Lew_Gideon T.;劉廷蔚;Liu Tingwei;Chinese;Cornell;New York;Ph.D.;Doctorate;Undetermined;Undetermined;1932;1932;;2;1930;1932;2;1919-1935;Doctorate;Sciences;;;University of Shanghai;;Education;University;China;Shanghai;Chungkung;;771;;198;227
Liu_Cheng Ling;劉承霖;Liu Chenglin;Chinese;Cornell;New York;B.S.;Bachelor;Sciences;Sciences;1918;1918;;3;1918;1932;14;1909-1918;Doctorate;Sciences;;;Chiao Tung University;;Education;University;China;Shanghai;Haig;;1954;;199;228
Liu_Cheng Ling;劉承霖;Liu Chenglin;Chinese;Columbia;New York;M.A.;Master;;;1924;1924;;3;1918;1932;14;1909-1918;Doctorate;Sciences;;;Chiao Tung University;;Education;University;China;Shanghai;Haig;;1954;;199;228
Liu_Cheng Ling;劉承霖;Liu Chenglin;Chinese;New York University;New York;Ph.D.;Doctorate;Undetermined;Undetermined;1932;1932;;3;1918;1932;14;1909-1918;Doctorate;Sciences;;;Chiao Tung University;;Education;University;China;Shanghai;Haig;;1954;;200;229
Lacy_Carleton;力'宣德;Li 'xuande;Western;Ohio Wesleyan;Ohio;A.B.;Bachelor;Humanities;Arts;1911;1911;;6;1911;1929;18;1909-1918;Doctorate;Theology;;;American Bible Society;;Organization;Religious;China;Shanghai;Yuen Ming Yuen;;169;;196;225
Lacy_Carleton;力'宣德;Li 'xuande;Western;Garrett Biblical Institute;Illinois;D.D.;Doctorate;Theology;Theology;1928;1929;Honorary;6;1911;1929;18;1909-1918;Doctorate;Theology;;;American Bible Society;;Organization;Religious;China;Shanghai;Yuen Ming Yuen;;169;;196;225
Lacy_Carleton;力'宣德;Li 'xuande;Western;Ohio Wesleyan;Ohio;D.D.;Doctorate;Theology;Theology;1911;1911;;6;1911;1929;18;1909-1918;Doctorate;Theology;;;American Bible Society;;Organization;Religious;China;Shanghai;Yuen Ming Yuen;;169;;196;225
Lacy_Carleton;力'宣德;Li 'xuande;Western;Northwestern;Illinois;M.A.;Master;Humanities;Arts;1914;1914;;6;1911;1929;18;1909-1918;Doctorate;Theology;;;American Bible Society;;Organization;Religious;China;Shanghai;Yuen Ming Yuen;;169;;196;225
Lacy_Carleton;力'宣德;Li 'xuande;Western;Columbia;New York;M.A.;Master;Humanities;Arts;1914;1914;;6;1911;1929;18;1909-1918;Doctorate;Theology;;;American Bible Society;;Organization;Religious;China;Shanghai;Yuen Ming Yuen;;169;;196;225
Lacy_Carleton;力'宣德;Li 'xuande;Western;Garrett Biblical Institute;Illinois;S.T.B.;Bachelor;Theology;Theology;1913;1914;;6;1911;1929;18;1909-1918;Doctorate;Theology;;;American Bible Society;;Organization;Religious;China;Shanghai;Yuen Ming Yuen;;169;;196;225
Lao_Ginarn;勞敞安;Lao Changan;Chinese;Lehigh;Pennsylvania;M.E.;Master;Engineering;Engineering;1918;1918;;1;1918;1918;0;1909-1918;Master;Engineering;1931;;;;;;China;Hangchow;;;;Lakeview Hotel;196;225
Au_Silwing P.C.;區兆榮;Ou Zhaorong;Chinese;Chicago;Illinois;J.D.;Doctorate;Law;Law;1926;1926;;2;1921;1926;5;1919-1935;Doctorate;Law;;;;;;;China;Shanghai;Yu Yuen;;120;;183;212
Au_Silwing P.C.;區兆榮;Ou Zhaorong;Chinese;Michigan;Michigan;;;;;1921;1922;;2;1921;1926;5;1919-1935;Doctorate;Law;;;;;;;China;Shanghai;Yu Yuen;;120;;183;212
Brown_Irving S.;卜朗;Bu Lang;Western;Drake;Iowa;A.B.;Bachelor;Humanities;Arts;1920;1920;;1;1920;1920;0;1919-1935;Bachelor;Humanities;1936;;American Consulate General;;Foreign Government;Consulate;China;Shanghai;Kiangse;;181;;184;213
Pott_Francis L. Hawks;卜紡濟;Bu Fangji;Western;General Theological Seminary;New York;B.D.;Bachelor;Theology;Theology;1886;1886;;5;1883;1929;46;1883-1908;Doctorate;Theology;;;St. John's University;;Education;University;China;Shanghai;Jessfield;;188;;203;232
Pott_Francis L. Hawks;卜紡濟;Bu Fangji;Western;Trinity;Texas;D.D.;Doctorate;Theology;Theology;1900;1900;;5;1883;1929;46;1883-1908;Doctorate;Theology;;;St. John's University;;Education;University;China;Shanghai;Jessfield;;188;;203;232
Pott_Francis L. Hawks;卜紡濟;Bu Fangji;Western;University of Edinburgh;Edinburgh;D.D.;Doctorate;Theology;Theology;1910;1910;;5;1883;1929;46;1883-1908;Doctorate;Theology;;;St. John's University;;Education;University;China;Shanghai;Jessfield;;188;;203;232
Pott_Francis L. Hawks;卜紡濟;Bu Fangji;Western;Columbia;New York;L.H.B.;Bachelor;Theology;Theology;1883;1883;;5;1883;1929;46;1883-1908;Doctorate;Theology;;;St. John's University;;Education;University;China;Shanghai;Jessfield;;188;;203;232
Pott_Francis L. Hawks;卜紡濟;Bu Fangji;Western;Columbia;New York;S.T.D.;Doctorate;Theology;Theology;1929;1929;Honorary;5;1883;1929;46;1883-1908;Doctorate;Theology;;;St. John's University;;Education;University;China;Shanghai;Jessfield;;188;;204;233
Brewer_R.W.;卜魯華;Bu Luhua;Western;Wisconsin;Wisconsin;B.S.;Bachelor;Sciences;Sciences;1921;1921;;1;1921;1921;0;1919-1935;Bachelor;Sciences;1933;;Ford Hire Service;;Company;Automobile;China;Shanghai;Great Western;;76;;184;213
Shih_Kuo-Kang;史國綱;Shi Guogang;Chinese;Beloit;Wisconsin;B.A.;Bachelor;Humanities;Arts;1928;1928;;2;1928;1931;3;1919-1935;Master;Humanities;;;Commercial Press;;Company;Press & Publishing;China;Shanghai;Honan;;211;;205;234
Shih_Kuo-Kang;史國綱;Shi Guogang;Chinese;Harvard;Massachusetts;M.A.;Master;;;1931;1931;;2;1928;1931;3;1919-1935;Master;Humanities;;;Commercial Press;;Company;Press & Publishing;China;Shanghai;Honan;;211;;205;234
Wool_Swain;吳士蔚;Wu Shiwei;Western;Columbia;New York;B.S.;Bachelor;Sciences;Sciences;1930;1930;;2;1928;1930;2;1919-1935;Bachelor;Sciences;;;National City Bank of New York;;Company;Banking;China;Shanghai;Kiukiang;;41;;212;241
Wool_Swain;吳士蔚;Wu Shiwei;Western;William & Mary;Virginia;;;;;1928;1929;;2;1928;1930;2;1919-1935;Bachelor;Sciences;;;National City Bank of New York;;Company;Banking;China;Shanghai;Kiukiang;;41;;212;241
Wu_Shou Sing;吳守信;Wu Shouxin;Chinese;Columbia;New York;;;;;1929;1930;;2;1929;1934;5;1919-1935;;;;;Sing Chong Loong Company;;Company;Food;China;Shanghai;North Soochow;;287;;212;241
Wu_Shou Sing;吳守信;Wu Shouxin;Chinese;Harvard;Massachusetts;;;;;1930;1934;;2;1929;1934;5;1919-1935;;;;;Sing Chong Loong Company;;Company;Food;China;Shanghai;North Soochow;;287;;212;241
Wu_Tse-Wei;吳志衛;Wu Zhiwei;Chinese;Detroit;Michigan;B.S.;Bachelor;Sciences;Sciences;1925;1925;;2;1925;1925;0;1919-1935;Master;Business & Commerce;1936;;Up… Company;;Company;Company;China;Shanghai;Museum;;14;;212;241
Wu_Tse-Wei;吳志衛;Wu Zhiwei;Chinese;Detroit;Michigan;M.C.S.;Master;Business & Commerce;Commercial Sciences;1925;1925;;2;1925;1925;0;1919-1935;Master;Business & Commerce;1936;;Up… Company;;Company;Company;China;Shanghai;Museum;;14;;212;241
Wu_Hueyjung L.;吳惠榮;Wu Huirong;Chinese;New York University;New York;B.C.S.;Bachelor;Business & Commerce;Commercial Sciences;1918;1918;;1;1918;1918;0;1909-1918;Bachelor;Business & Commerce;;;Nanking Brothers Tobacco Company;;Company;Tobacco;China;Shanghai;East Seward;;786;;212;241
Woo_S.T.;吳旭丹;Wu Xudan;Chinese;Harvard;Massachusetts;M.D.;Doctorate;Medicine;Medicine;1919;1919;;1;1919;1919;0;1919-1935;Doctorate;Medicine;;;;;;;China;Haichow;;;;;212;241
Woo_Tonzoo C.;吳東初;Wu Dongchu;Chinese;Columbia;New York;A.M.;Master;Humanities;Arts;1921;1921;;1;1921;1921;0;1919-1935;Master;Humanities;1934;;Otis Elevator Company;;Company;Mechanical;China;Shanghai;Avenue;;935;;212;241
Wu_John C.H.;吳經熊;Wu Jingxiong;Chinese;Michigan;Michigan;J.D.;Doctorate;Law;Law;1921;1921;;1;1921;1921;0;1919-1935;Doctorate;Law;1933;;;;;;China;Shanghai;Bubbling Well;;934;Medhurst Apartment;212;241
Chow_Chester T.C.;周天駿;Zhou Tianjun;Chinese;California;California;B.S.;Bachelor;Sciences;Sciences;1922;1922;;1;1922;1922;0;1919-1935;Bachelor;Sciences;;;Great China University;;Education;University;China;Shanghai;Chung San;;2566;;187;216
Chow_Sze Tsong;周思忠;Zhou Sizhong;Chinese;Pennsylvania;Pennsylvania;B.S.;Bachelor;Sciences;Sciences;1922;1922;;1;1922;1922;0;1919-1935;Bachelor;Sciences;;;China Travel Service;;Company;Trade & Business;China;Shanghai;Szechuen;;420;;187;216
Chou_Tzu Pei;周自塔;Zhou Zita;Chinese;Yale;Connecticut;M.D.;Doctorate;Medicine;Medicine;1926;1926;;1;1926;1926;0;1919-1935;Doctorate;Medicine;;;Chinese Red Cross;Red Cross General Hospital;Organization;International;China;Shanghai;Haig;;373;;187;216
Harrington_William B.;哈靈敦;Ha Lingdun;Western;Washington & Lee;Virginia;A.B.;Bachelor;Humanities;Arts;1929;1929;;2;1929;1932;3;1919-1935;Bachelor;Law;1933;;Franklin & Harrington;;Company;Company;China;Shanghai;Yuen Ming Yuen;;149;;191;220
Harrington_William B.;哈靈敦;Ha Lingdun;Western;Harvard;Massachusetts;LL.B.;Bachelor;Law;Law;1932;1932;;2;1929;1932;3;1919-1935;Bachelor;Law;1933;;Franklin & Harrington;;Company;Company;China;Shanghai;Yuen Ming Yuen;;149;;191;220
Tang_Paul;唐寶璜;Tang Baohuang;Chinese;Pennsylvania;Pennsylvania;;;;;1909;1909;;2;1909;1913;4;1909-1918;;;;;Sincere Insurance & Investment Company;;Company;Insurance;China;Shanghai;Chekiang;;403;;207;236
Tang_Paul;唐寶璜;Tang Baohuang;Chinese;New York University;New York;;;;;1912;1913;;2;1909;1913;4;1909-1918;;;;;Sincere Insurance & Investment Company;;Company;Insurance;China;Shanghai;Chekiang;;403;;207;236
Chiao_Wen Shou;喬文壽;Jiao Wenshou;Chinese;Denison;Ohio;B.S.;Bachelor;Sciences;Sciences;1928;1928;;2;1928;1931;3;1919-1935;Master;Business & Commerce;;;Sun Lee & Company;;Company;Company;China;Shanghai;Ningpo;;40;;187;216
Chiao_Wen Shou;喬文壽;Jiao Wenshou;Chinese;Harvard;Massachusetts;M.B.A.;Master;Business & Commerce;Business Administration;1931;1931;;2;1928;1931;3;1919-1935;Master;Business & Commerce;;;Sun Lee & Company;;Company;Company;China;Shanghai;Ningpo;;40;;187;216
Yen_L.C.;嚴連慶;Yan Lianqing;Chinese;Purdue;Indiana;B.S.;Bachelor;Sciences;Sciences;1910;1910;;2;1910;1917;7;1909-1918;Certificate;Engineering;;;Central Trust Company;;Company;Banking;China;Shanghai;Peking;;270;;214;243
Yen_L.C.;嚴連慶;Yan Lianqing;Chinese;Purdue;Indiana;C.E.;Certificate;Engineering;Engineering;1917;1917;;2;1910;1917;7;1909-1918;Certificate;Engineering;;;Central Trust Company;;Company;Banking;China;Shanghai;Peking;;270;;214;243
Hsia_Jui-Ching;夏少平;Xia Shaoping;Chinese;Chicago;Illinois;M.A.;Master;;;1925;1925;;2;1925;1928;3;1919-1935;Doctorate;;;;Aluminium (V) Ltd.;;Company;Metal & Mining;China;Shanghai;Peking;;2;;192;221
Hsia_Jui-Ching;夏少平;Xia Shaoping;Chinese;Columbia;New York;Ph.D.;Doctorate;Undetermined;Undetermined;1928;1928;;2;1925;1928;3;1919-1935;Doctorate;;;;Aluminium (V) Ltd.;;Company;Metal & Mining;China;Shanghai;Peking;;2;;192;221
How_Bang;夏鵬;Xia Peng;Chinese;Pennsylvania;Pennsylvania;B.S.;Bachelor;Sciences;Sciences;1920;1920;;1;1920;1920;0;1919-1935;Bachelor;Sciences;1930;;Commercial Press;;Company;Press & Publishing;China;Shanghai;Honan;;211;;192;221
Ede_Franck C.;奚世英;Xi Shiying;Western;Massachusetts Institute of Technology;Massachusetts;C.E.;Certificate;Engineering;Engineering;1923;1923;;1;1923;1923;0;1919-1935;Certificate;Engineering;;;Andersen, Meyer & Company;;Company;Engineering;China;Shanghai;Yuen Ming Yuen;;21;;189;218
Yao_Y.L.;姚永勵;Yao Yongli;Chinese;Yale;Connecticut;B.A.;Bachelor;Humanities;Arts;1924;1924;;2;1924;1926;2;1919-1935;Doctorate;Law;1933;;;;;;China;Shanghai;Hong Kong;;59;;213;242
Yao_Y.L.;姚永勵;Yao Yongli;Chinese;Chicago;Illinois;J.D.;Doctorate;Law;Law;1926;1926;;2;1924;1926;2;1919-1935;Doctorate;Law;1933;;;;;;China;Shanghai;Hong Kong;;59;;213;242
Williams_J.T.;威林士;Wei Linshi;Western;Howard;District of Columbia;B.A.;Bachelor;Humanities;Arts;1909;1909;;3;1909;1921;12;1909-1918;Doctorate;Theology;;;China Baptist Publication Society;;Organization;Religious;China;Shanghai;Yuen Ming Yuen;;209;;210;239
Williams_J.T.;威林士;Wei Linshi;Western;Louisville;Kentucky;Th.D.;Doctorate;Theology;Theology;1921;1921;;3;1909;1921;12;1909-1918;Doctorate;Theology;;;China Baptist Publication Society;;Organization;Religious;China;Shanghai;Yuen Ming Yuen;;209;;210;239
Williams_J.T.;威林士;Wei Linshi;Western;Southern Boys Seminary;Kentucky;Th.M.;Master;Theology;Theology;1913;1913;;3;1909;1921;12;1909-1918;Doctorate;Theology;;;China Baptist Publication Society;;Organization;Religious;China;Shanghai;Yuen Ming Yuen;;131;;210;239
Kung_S.W.;孔士諄;Kong Shizhun;Chinese;North Central College;Illinois;B.A.;Bachelor;Humanities;Arts;1926;1926;;3;1926;1930;4;1919-1935;Doctorate;Business & Commerce;;;Commercial Press;;Company;Press & Publishing;China;Shanghai;Honan;;211;;195;224
Kung_S.W.;孔士諄;Kong Shizhun;Chinese;New York University;New York;D.C.S.;Doctorate;Business & Commerce;Commercial Sciences;1930;1930;;3;1926;1930;4;1919-1935;Doctorate;Business & Commerce;;;Commercial Press;;Company;Press & Publishing;China;Shanghai;Honan;;211;;195;224
Kung_S.W.;孔士諄;Kong Shizhun;Chinese;New York University;New York;M.S.;Master;Sciences;Sciences;1927;1927;;3;1926;1930;4;1919-1935;Doctorate;Business & Commerce;;;Commercial Press;;Company;Press & Publishing;China;Shanghai;Honan;;211;;195;224
Kung_Hsiang-hsi;孔祥熙;Kong Xiangxi;Chinese;Oberlin;Ohio;B.A.;Bachelor;Humanities;Arts;1906;1906;;3;1906;1926;20;1883-1908;Master;Humanities;1935;;Ministry of Finance;;Central Government;Ministry;China;Shanghai;Bund;;15;;195;224
Kung_Hsiang-hsi;孔祥熙;Kong Xiangxi;Chinese;Oberlin;Ohio;LL.D.;Doctorate;Law;Law;1926;1926;Honorary;3;1906;1926;20;1883-1908;Master;Humanities;1935;;Ministry of Finance;;Central Government;Ministry;China;Shanghai;Bund;;15;;195;224
Kung_Hsiang-hsi;孔祥熙;Kong Xiangxi;Chinese;Yale;Connecticut;M.A.;Master;Humanities;Arts;1907;1907;;3;1906;1926;20;1883-1908;Master;Humanities;1935;;Ministry of Finance;;Central Government;Ministry;China;Shanghai;Bund;;15;;195;224
