Organization;Type;Type2
Roosevelt Hospital;Facility;Hospital
Sloane Maternity Hospital;Facility;Hospital
St. Luke's Hospital;Facility;Hospital
Trier Evacuation Hospitals;Facility;Hospital
Nanking-Shanghai Railways;Facility;Railway
Capitol Theater;Facility;
Chung San National Memorial Park;Facility;
Han Yeh Ping Coal & Iron Works;Facility;
Metropolitan Museum of Art;Facility;
Pingsiang Colliery;Facility;
Revolutionists' Memorial (Nanking);Facility;
Chinese Government (Qing);Government;Central
National Government (Beiyang);Government;Central
National Government (Canton);Government;Central
National Government (Nanking);Government;Central
Ministry of Communications;Government;Central
Ministry of Education;Government;Central
Ministry of Finance;Government;Central
Ministry of Industry;Government;Central
Ministry of Industry and Commerce;Government;Central
Ministry of Railways;Government;Central
Ministry of the Interior;Government;Central
United States Government;Government;Foreign
United States Senate;Government;Foreign
Manila Government;Government;Foreign
Kwangtung Provincial Government;Government;Local
Municipality of Greater Shanghai;Government;Local
Shanghai Municipal Council;Government;Local
Journal of the Chinese Institute of Engineers;Media;China
Takung Pao;Media;China
Harvard Alumni Review;Media;US
Municipal Review;Media;US
Chicago World Exposition;Other;Conference
Far Eastern Conference (Chicago);Other;Conference
National Educational Conference;Other;Conference
National Emergency Conference;Other;Conference
International Dental Congress;Other;Conference
Rockefeller Foundation;Other;Foundation
First Judicial Circuit of Hawaii;Other;Judiciary
International Mixed Court;Other;Judiciary
United States Court for China;Other;Judiciary
American Expeditionary Forces;Other;Military
American Troop Shanghai Volunteer Corps;Other;Military
Army Y.M.C.A.;Other;Military
Chinese Army;Other;Military
Shanghai Special Police;Other;Military
Shanghai Volunteer Corps;Other;Military
United States Army;Other;Military
American Red Cross Society;Other;Philanthropy
China Mission to Lepers;Other;Philanthropy
Chinese Mission to Lepers;Other;Philanthropy
Red Cross Society of China;Other;Philanthropy
American Church Mission;Other;Religion
Cantonese Baptist Church;Other;Religion
Church of Our Saviour;Other;Religion
Episcopal Board of Missions;Other;Religion
American Concrete Institute;Other;Research
Chinese National Cultural and Economic Institute;Other;Research
Emerson Institute;Other;Research
First National Hydraulic Laboratory;Other;Research
China Institute in America;Other;
Institute for Chinese Blind;Other;
Institute of Pacific Relations;Other;
League of Nations;Other;
